Title,Artist,Hash_tag,Price,URL,img,Type
공연 고민,칼 라르손 (Carl Larsson),#사실주의 #클래식 #편안,"43,000 ",https://www.wart.co.kr/product/%EA%B3%B5%EC%97%B0-%EA%B3%A0%EB%AF%BC/13212/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/cb8e923c7653d6cd05d135fe2641030b.jpg,Masterpiece
겨울의 시골집,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EA%B2%A8%EC%9A%B8%EC%9D%98-%EC%8B%9C%EA%B3%A8%EC%A7%91/13211/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/f0ec6081e47e5a620b8df48b55defdd9.jpg,Masterpiece
겨울 화가,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EA%B2%A8%EC%9A%B8-%ED%99%94%EA%B0%80/13210/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/c5974c00c46de4ccf6dc50611a2632a8.jpg,Masterpiece
낚시하는 리스베스,칼 라르손 (Carl Larsson),#수채화 #로맨틱 #일상,"43,000 ",https://www.wart.co.kr/product/%EB%82%9A%EC%8B%9C%ED%95%98%EB%8A%94-%EB%A6%AC%EC%8A%A4%EB%B2%A0%EC%8A%A4/13209/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/6a2d4e2404d53125595df35fde690514.jpg,Masterpiece
휴일의 독서,칼 라르손(Carl Larsson),#수채화 #로맨틱 #일상,"43,000 ",https://www.wart.co.kr/product/%ED%9C%B4%EC%9D%BC%EC%9D%98-%EB%8F%85%EC%84%9C/13208/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/575ce3e1e2c0071719568460577f1ac1.jpg,Masterpiece
해안가의 카린,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%ED%95%B4%EC%95%88%EA%B0%80%EC%9D%98-%EC%B9%B4%EB%A6%B0/13207/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/97d885337e9fc765856febc24ed8cf65.jpg,Masterpiece
필독서,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%ED%95%84%EB%8F%85%EC%84%9C/13206/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/896e71c0a7aef010cf64613c8be22216.jpg,Masterpiece
편지 쓰기,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%ED%8E%B8%EC%A7%80-%EC%93%B0%EA%B8%B0/13205/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/597e7bc5e7cc0f5c37628ff935e92551.jpg,Masterpiece
크리스마스와 새해 사이,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%ED%81%AC%EB%A6%AC%EC%8A%A4%EB%A7%88%EC%8A%A4%EC%99%80-%EC%83%88%ED%95%B4-%EC%82%AC%EC%9D%B4/13204/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/d64b19f65c7cfecaf2bc16abfa79e869.jpg,Masterpiece
크리스마스 전통 만찬,칼 라르손 (Carl Larsson),#사실주의 #클래식 #경쾌,"43,000 ",https://www.wart.co.kr/product/%ED%81%AC%EB%A6%AC%EC%8A%A4%EB%A7%88%EC%8A%A4-%EC%A0%84%ED%86%B5-%EB%A7%8C%EC%B0%AC/13203/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/f0f434c080911cedbc9b7f6076b49163.jpg,Masterpiece
